waypoint1	waypoint2	distance_m	duration_s
Fort Snelling, Tower Avenue, Saint Paul, MN	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1071728	34874
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2187279	71475
Ashfall Fossil Bed, Royal, NE	Liberty Bell, 6th Street, Philadelphia, PA	2197307	73898
Mount Vernon, Fairfax County, Virginia	Lost World Caverns, Lewisburg, WV	420071	14289
New Castle Historic District, Delaware	USS Constitution, Boston, MA	643295	23331
Olympia Entertainment, Woodward Avenue, Detroit, MI	Gateway Arch, Washington Avenue, St Louis, MO	854074	28475
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Ashfall Fossil Bed, Royal, NE	2408073	81148
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1811167	62449
Yellowstone National Park, WY 82190	Wright Brothers National Memorial Visitor Center, Manteo, NC	3764344	127597
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2701523	87538
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Sumter National Monument, Sullivan's Island, SC	1827656	59833
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Hanford Site, Benton County, WA	3537439	115562
Wright Brothers National Memorial Visitor Center, Manteo, NC	Lost World Caverns, Lewisburg, WV	630856	21895
Grand Canyon National Park, Arizona	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2254206	71854
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	USS Constitution, Boston, MA	1825422	61862
French Quarter, New Orleans, LA	Congress Hall, Congress Place, Cape May, NJ 08204	2045021	67429
Toltec Mounds, Scott, AR	Gateway Arch, Washington Avenue, St Louis, MO	568861	20476
Fort Snelling, Tower Avenue, Saint Paul, MN	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1124964	37609
Acadia National Park, Maine	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2293420	77291
White House, Pennsylvania Avenue Northwest, Washington, DC	Glacier National Park, West Glacier, MT	3562723	120758
Gateway Arch, Washington Avenue, St Louis, MO	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	377594	12651
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Snelling, Tower Avenue, Saint Paul, MN	394558	12654
Grand Canyon National Park, Arizona	New Castle Historic District, Delaware	3741677	122184
USS Alabama, Battleship Parkway, Mobile, AL	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2485277	84167
Grand Canyon National Park, Arizona	Cape Canaveral, FL	3497485	112430
Fort Sumter National Monument, Sullivan's Island, SC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4455911	142503
San Andreas Fault, San Benito County, CA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3667715	117719
Carlsbad Caverns National Park, Carlsbad, NM	Bryce Canyon National Park, Hwy 63, Bryce, UT	1365375	50928
Hanford Site, Benton County, WA	Acadia National Park, Maine	5129430	168296
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1432857	47694
Hoover Dam, NV	Liberty Bell, 6th Street, Philadelphia, PA	3970882	127666
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	947062	32349
Ashfall Fossil Bed, Royal, NE	Statue of Liberty, Liberty Island, NYC, NY	2246462	75935
Shelburne Farms, Harbor Road, Shelburne, VT	The Alamo, Alamo Plaza, San Antonio, TX	3222592	109141
Mount Vernon, Fairfax County, Virginia	Hanford Site, Benton County, WA	4263334	138679
The Breakers, Ochre Point Avenue, Newport, RI	Fort Sumter National Monument, Sullivan's Island, SC	1509644	51895
San Andreas Fault, San Benito County, CA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1153959	39391
Lost World Caverns, Lewisburg, WV	Bryce Canyon National Park, Hwy 63, Bryce, UT	3263699	104912
Hoover Dam, NV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2492385	79705
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Maryland State House, 100 State Cir, Annapolis, MD 21401	1170057	38228
Graceland, Elvis Presley Boulevard, Memphis, TN	The Alamo, Alamo Plaza, San Antonio, TX	1179943	38522
White House, Pennsylvania Avenue Northwest, Washington, DC	Lost World Caverns, Lewisburg, WV	416487	13974
Acadia National Park, Maine	Carlsbad Caverns National Park, Carlsbad, NM	4029017	136476
Cape Canaveral, FL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1787745	57349
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2836410	93796
Fort Snelling, Tower Avenue, Saint Paul, MN	Cape Canaveral, FL	2528027	83192
Pikes Peak, Colorado	Liberty Bell, 6th Street, Philadelphia, PA	2801541	94016
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2170327	72440
Olympia Entertainment, Woodward Avenue, Detroit, MI	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	724185	24572
Taliesin, County Road C, Spring Green, Wisconsin	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3320261	105722
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Craters of the Moon National Monument & Preserve, Arco, ID	3984636	130673
Taliesin, County Road C, Spring Green, Wisconsin	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	754858	27853
Hoover Dam, NV	Maryland State House, 100 State Cir, Annapolis, MD 21401	3901708	126086
Fort Snelling, Tower Avenue, Saint Paul, MN	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1276874	42754
Grand Canyon National Park, Arizona	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1966376	67005
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	563876	20053
The Breakers, Ochre Point Avenue, Newport, RI	Olympia Entertainment, Woodward Avenue, Detroit, MI	1201574	41261
Gateway Arch, Washington Avenue, St Louis, MO	Fort Sumter National Monument, Sullivan's Island, SC	1375785	44824
Cape Canaveral, FL	Carlsbad Caverns National Park, Carlsbad, NM	2624036	87280
USS Alabama, Battleship Parkway, Mobile, AL	Congress Hall, Congress Place, Cape May, NJ 08204	1862027	62182
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Taliesin, County Road C, Spring Green, Wisconsin	1440063	46531
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Statue of Liberty, Liberty Island, NYC, NY	4676008	150329
Mount Vernon, Fairfax County, Virginia	San Andreas Fault, San Benito County, CA	4600219	148026
Cape Canaveral, FL	Mount Vernon, Fairfax County, Virginia	1373731	43285
Yellowstone National Park, WY 82190	Mount Vernon, Fairfax County, Virginia	3398494	115258
Columbia River Gorge National Scenic Area, Oregon	Glacier National Park, West Glacier, MT	844416	29880
Fort Snelling, Tower Avenue, Saint Paul, MN	The Alamo, Alamo Plaza, San Antonio, TX	2008901	63953
Olympia Entertainment, Woodward Avenue, Detroit, MI	Fort Snelling, Tower Avenue, Saint Paul, MN	1111015	37024
Grand Canyon National Park, Arizona	Toltec Mounds, Scott, AR	2072393	65433
Fort Snelling, Tower Avenue, Saint Paul, MN	Bryce Canyon National Park, Hwy 63, Bryce, UT	2371319	76150
Taliesin, County Road C, Spring Green, Wisconsin	Statue of Liberty, Liberty Island, NYC, NY	1570383	53892
Taliesin, County Road C, Spring Green, Wisconsin	Pikes Peak, Colorado	1659414	54870
Columbia River Gorge National Scenic Area, Oregon	USS Alabama, Battleship Parkway, Mobile, AL	4091685	132922
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Hanford Site, Benton County, WA	1661609	56503
Lost World Caverns, Lewisburg, WV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1013896	34410
Graceland, Elvis Presley Boulevard, Memphis, TN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	622132	20258
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	San Andreas Fault, San Benito County, CA	2905229	93818
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3143831	103744
Yellowstone National Park, WY 82190	New Castle Historic District, Delaware	3498750	119246
USS Alabama, Battleship Parkway, Mobile, AL	Maryland State House, 100 State Cir, Annapolis, MD 21401	1613845	52194
Gateway Arch, Washington Avenue, St Louis, MO	Taliesin, County Road C, Spring Green, Wisconsin	639237	21474
New Castle Historic District, Delaware	San Andreas Fault, San Benito County, CA	4676829	153332
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Craters of the Moon National Monument & Preserve, Arco, ID	1183571	39401
Olympia Entertainment, Woodward Avenue, Detroit, MI	Liberty Bell, 6th Street, Philadelphia, PA	944184	31499
Mount Vernon, Fairfax County, Virginia	The Alamo, Alamo Plaza, San Antonio, TX	2579868	82913
Cape Canaveral, FL	Shelburne Farms, Harbor Road, Shelburne, VT	2212334	74068
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	USS Constitution, Boston, MA	1670972	56752
Columbia River Gorge National Scenic Area, Oregon	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3504226	113150
Hoover Dam, NV	Congress Hall, Congress Place, Cape May, NJ 08204	4119298	132875
Fort Sumter National Monument, Sullivan's Island, SC	Taliesin, County Road C, Spring Green, Wisconsin	1766176	59060
Grand Canyon National Park, Arizona	Craters of the Moon National Monument & Preserve, Arco, ID	1092662	37427
The Breakers, Ochre Point Avenue, Newport, RI	Mount Vernon, Fairfax County, Virginia	674006	25420
French Quarter, New Orleans, LA	Carlsbad Caverns National Park, Carlsbad, NM	1626516	54355
Bryce Canyon National Park, Hwy 63, Bryce, UT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2718623	88979
The Breakers, Ochre Point Avenue, Newport, RI	Statue of Liberty, Liberty Island, NYC, NY	294397	11880
Toltec Mounds, Scott, AR	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2344430	75150
White House, Pennsylvania Avenue Northwest, Washington, DC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1065777	36126
White House, Pennsylvania Avenue Northwest, Washington, DC	Terrace Hill, Grand Avenue, Des Moines, IA	1642191	54599
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Liberty Bell, 6th Street, Philadelphia, PA	723060	26089
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Glacier National Park, West Glacier, MT	2925895	97927
Terrace Hill, Grand Avenue, Des Moines, IA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1011679	35372
Toltec Mounds, Scott, AR	Carlsbad Caverns National Park, Carlsbad, NM	1327081	45885
Ashfall Fossil Bed, Royal, NE	Lost World Caverns, Lewisburg, WV	1904421	64809
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	USS Constitution, Boston, MA	1396767	47412
San Andreas Fault, San Benito County, CA	Ashfall Fossil Bed, Royal, NE	2748293	91859
Taliesin, County Road C, Spring Green, Wisconsin	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1972522	69323
Bryce Canyon National Park, Hwy 63, Bryce, UT	The Alamo, Alamo Plaza, San Antonio, TX	2008273	69456
USS Alabama, Battleship Parkway, Mobile, AL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1197210	41151
Gateway Arch, Washington Avenue, St Louis, MO	Liberty Bell, 6th Street, Philadelphia, PA	1424191	48008
Fort Sumter National Monument, Sullivan's Island, SC	USS Constitution, Boston, MA	1565117	53280
Terrace Hill, Grand Avenue, Des Moines, IA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	878386	30935
Fort Snelling, Tower Avenue, Saint Paul, MN	Craters of the Moon National Monument & Preserve, Arco, ID	2074907	66503
White House, Pennsylvania Avenue Northwest, Washington, DC	USS Constitution, Boston, MA	707900	25929
French Quarter, New Orleans, LA	Maryland State House, 100 State Cir, Annapolis, MD 21401	1805839	58246
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1534519	51407
Fort Snelling, Tower Avenue, Saint Paul, MN	Hanford Site, Benton County, WA	2476769	78930
Pikes Peak, Colorado	San Andreas Fault, San Benito County, CA	2028101	70693
French Quarter, New Orleans, LA	San Andreas Fault, San Benito County, CA	3421944	110860
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	White House, Pennsylvania Avenue Northwest, Washington, DC	2202900	72015
Yellowstone National Park, WY 82190	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	2674069	90567
Hanford Site, Benton County, WA	Congress Hall, Congress Place, Cape May, NJ 08204	4474392	146158
USS Alabama, Battleship Parkway, Mobile, AL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3851355	120933
Pikes Peak, Colorado	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2684344	89913
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Acadia National Park, Maine	2101169	72066
Gateway Arch, Washington Avenue, St Louis, MO	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1956713	64002
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Lost World Caverns, Lewisburg, WV	1354025	46054
Taliesin, County Road C, Spring Green, Wisconsin	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1485999	48362
Craters of the Moon National Monument & Preserve, Arco, ID	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2984500	96900
Grand Canyon National Park, Arizona	Fort Sumter National Monument, Sullivan's Island, SC	3346256	107244
Toltec Mounds, Scott, AR	Fort Snelling, Tower Avenue, Saint Paul, MN	1399583	44808
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Glacier National Park, West Glacier, MT	1852892	68303
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1088190	36895
USS Alabama, Battleship Parkway, Mobile, AL	USS Constitution, Boston, MA	2269209	75829
Olympia Entertainment, Woodward Avenue, Detroit, MI	Carlsbad Caverns National Park, Carlsbad, NM	2557663	86004
Congress Hall, Congress Place, Cape May, NJ 08204	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1939503	64125
Terrace Hill, Grand Avenue, Des Moines, IA	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1038320	32938
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Wright Brothers National Memorial Visitor Center, Manteo, NC	1291189	47796
Columbia River Gorge National Scenic Area, Oregon	Acadia National Park, Maine	5244119	171366
Columbia River Gorge National Scenic Area, Oregon	Cape Canaveral, FL	4807339	153977
Mount Vernon, Fairfax County, Virginia	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1079151	35570
Yellowstone National Park, WY 82190	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2591982	89994
Olympia Entertainment, Woodward Avenue, Detroit, MI	French Quarter, New Orleans, LA	1716021	55691
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Carlsbad Caverns National Park, Carlsbad, NM	2257950	75837
New Castle Historic District, Delaware	Lost World Caverns, Lewisburg, WV	572997	20002
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Wright Brothers National Memorial Visitor Center, Manteo, NC	3071895	102030
Cape Canaveral, FL	Maryland State House, 100 State Cir, Annapolis, MD 21401	1449130	45866
Wright Brothers National Memorial Visitor Center, Manteo, NC	The Alamo, Alamo Plaza, San Antonio, TX	2548833	81090
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	509623	16914
Fort Snelling, Tower Avenue, Saint Paul, MN	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1110505	38807
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Acadia National Park, Maine	3512958	116687
New Castle Historic District, Delaware	Fort Snelling, Tower Avenue, Saint Paul, MN	1900728	64776
Liberty Bell, 6th Street, Philadelphia, PA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1369812	46276
San Andreas Fault, San Benito County, CA	Carlsbad Caverns National Park, Carlsbad, NM	1947584	66213
Terrace Hill, Grand Avenue, Des Moines, IA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1848155	63029
Grand Canyon National Park, Arizona	Glacier National Park, West Glacier, MT	1671388	57772
Taliesin, County Road C, Spring Green, Wisconsin	USS Constitution, Boston, MA	1881312	64309
Columbia River Gorge National Scenic Area, Oregon	Toltec Mounds, Scott, AR	3399075	107999
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Lost World Caverns, Lewisburg, WV	4297209	137177
Terrace Hill, Grand Avenue, Des Moines, IA	San Andreas Fault, San Benito County, CA	3029552	97016
Yellowstone National Park, WY 82190	The Alamo, Alamo Plaza, San Antonio, TX	2356078	82328
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2347381	78304
Liberty Bell, 6th Street, Philadelphia, PA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1861049	60524
Acadia National Park, Maine	Graceland, Elvis Presley Boulevard, Memphis, TN	2553219	85497
Gateway Arch, Washington Avenue, St Louis, MO	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1730737	57883
White House, Pennsylvania Avenue Northwest, Washington, DC	Taliesin, County Road C, Spring Green, Wisconsin	1422942	49005
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Alamo, Alamo Plaza, San Antonio, TX	652795	22346
Toltec Mounds, Scott, AR	Maryland State House, 100 State Cir, Annapolis, MD 21401	1690140	55360
Hanford Site, Benton County, WA	Ashfall Fossil Bed, Royal, NE	2197917	74629
Columbia River Gorge National Scenic Area, Oregon	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3653598	117059
Taliesin, County Road C, Spring Green, Wisconsin	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	921227	31799
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Carlsbad Caverns National Park, Carlsbad, NM	2122087	70325
Fort Sumter National Monument, Sullivan's Island, SC	Hanford Site, Benton County, WA	4461507	144062
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Wright Brothers National Memorial Visitor Center, Manteo, NC	1293271	44191
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lost World Caverns, Lewisburg, WV	479164	16178
Cape Canaveral, FL	Craters of the Moon National Monument & Preserve, Arco, ID	4128413	133780
USS Alabama, Battleship Parkway, Mobile, AL	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2111674	70319
Toltec Mounds, Scott, AR	Vicksburg National Military Park, Clay Street, Vicksburg, MS	342172	13329
Shelburne Farms, Harbor Road, Shelburne, VT	Carlsbad Caverns National Park, Carlsbad, NM	3483464	120232
Cape Canaveral, FL	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	2130657	68422
Yellowstone National Park, WY 82190	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1152968	43294
New Castle Historic District, Delaware	USS Alabama, Battleship Parkway, Mobile, AL	1707247	56141
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Graceland, Elvis Presley Boulevard, Memphis, TN	789810	28155
USS Constitution, Boston, MA	Bryce Canyon National Park, Hwy 63, Bryce, UT	4079429	133227
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Hanford Site, Benton County, WA	3007741	96138
Grand Canyon National Park, Arizona	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1651973	57098
Craters of the Moon National Monument & Preserve, Arco, ID	Graceland, Elvis Presley Boulevard, Memphis, TN	2718789	90457
Pikes Peak, Colorado	Lost World Caverns, Lewisburg, WV	2378452	78556
Hoover Dam, NV	San Andreas Fault, San Benito County, CA	763736	27401
Columbia River Gorge National Scenic Area, Oregon	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4905721	161240
Fort Sumter National Monument, Sullivan's Island, SC	Carlsbad Caverns National Park, Carlsbad, NM	2529330	84213
The Alamo, Alamo Plaza, San Antonio, TX	Vicksburg National Military Park, Clay Street, Vicksburg, MS	931061	31611
New Castle Historic District, Delaware	Congress Hall, Congress Place, Cape May, NJ 08204	84730	8912
Grand Canyon National Park, Arizona	Columbia River Gorge National Scenic Area, Oregon	1682139	56273
Congress Hall, Congress Place, Cape May, NJ 08204	Craters of the Moon National Monument & Preserve, Arco, ID	3853634	125555
The Breakers, Ochre Point Avenue, Newport, RI	Shelburne Farms, Harbor Road, Shelburne, VT	470924	17258
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Craters of the Moon National Monument & Preserve, Arco, ID	2762301	89768
French Quarter, New Orleans, LA	Lost World Caverns, Lewisburg, WV	1441809	46162
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mount Vernon, Fairfax County, Virginia	75403	3164
Taliesin, County Road C, Spring Green, Wisconsin	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	488221	16694
The Breakers, Ochre Point Avenue, Newport, RI	USS Constitution, Boston, MA	120154	5331
Fort Sumter National Monument, Sullivan's Island, SC	Acadia National Park, Maine	1994724	68420
The Breakers, Ochre Point Avenue, Newport, RI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1770829	60452
Cape Canaveral, FL	Fort Sumter National Monument, Sullivan's Island, SC	642555	21284
Mount Vernon, Fairfax County, Virginia	Congress Hall, Congress Place, Cape May, NJ 08204	324587	13311
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Congress Hall, Congress Place, Cape May, NJ 08204	440711	16118
Grand Canyon National Park, Arizona	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2684847	85110
Olympia Entertainment, Woodward Avenue, Detroit, MI	Hoover Dam, NV	3287993	104882
Fort Snelling, Tower Avenue, Saint Paul, MN	Carlsbad Caverns National Park, Carlsbad, NM	2166013	71738
Taliesin, County Road C, Spring Green, Wisconsin	Shelburne Farms, Harbor Road, Shelburne, VT	1745609	63208
Grand Canyon National Park, Arizona	Hanford Site, Benton County, WA	1641207	55078
Olympia Entertainment, Woodward Avenue, Detroit, MI	Shelburne Farms, Harbor Road, Shelburne, VT	1075881	37666
Yellowstone National Park, WY 82190	USS Alabama, Battleship Parkway, Mobile, AL	3112156	106431
Pikes Peak, Colorado	Wright Brothers National Memorial Visitor Center, Manteo, NC	3006046	99879
Columbia River Gorge National Scenic Area, Oregon	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1044669	35432
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Congress Hall, Congress Place, Cape May, NJ 08204	3069351	102102
Toltec Mounds, Scott, AR	USS Constitution, Boston, MA	2338394	77557
Columbia River Gorge National Scenic Area, Oregon	Statue of Liberty, Liberty Island, NYC, NY	4503583	145809
Hoover Dam, NV	Carlsbad Caverns National Park, Carlsbad, NM	1372972	46561
The Breakers, Ochre Point Avenue, Newport, RI	Pikes Peak, Colorado	3199746	109120
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Breakers, Ochre Point Avenue, Newport, RI	2700531	92222
White House, Pennsylvania Avenue Northwest, Washington, DC	French Quarter, New Orleans, LA	1743678	56213
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1675183	56103
Yellowstone National Park, WY 82190	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2524697	86658
Pikes Peak, Colorado	The Alamo, Alamo Plaza, San Antonio, TX	1435151	49346
The Breakers, Ochre Point Avenue, Newport, RI	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3281541	108679
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1160405	39040
Glacier National Park, West Glacier, MT	Statue of Liberty, Liberty Island, NYC, NY	3735055	125076
Pikes Peak, Colorado	Mount Vernon, Fairfax County, Virginia	2712486	91645
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3174560	106561
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3254574	107242
Gateway Arch, Washington Avenue, St Louis, MO	Lost World Caverns, Lewisburg, WV	990888	32148
New Castle Historic District, Delaware	Glacier National Park, West Glacier, MT	3684862	125574
Cape Canaveral, FL	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1947118	64281
Hoover Dam, NV	French Quarter, New Orleans, LA	2725789	87333
Columbia River Gorge National Scenic Area, Oregon	Hoover Dam, NV	1586117	53724
Yellowstone National Park, WY 82190	Pikes Peak, Colorado	1010111	41065
Maryland State House, 100 State Cir, Annapolis, MD 21401	Shelburne Farms, Harbor Road, Shelburne, VT	799534	29324
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	897371	30978
French Quarter, New Orleans, LA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1301287	41701
New Castle Historic District, Delaware	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1188931	40247
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	The Alamo, Alamo Plaza, San Antonio, TX	1800120	58451
Pikes Peak, Colorado	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1931716	64485
Statue of Liberty, Liberty Island, NYC, NY	Bryce Canyon National Park, Hwy 63, Bryce, UT	3768500	122810
Glacier National Park, West Glacier, MT	Wright Brothers National Memorial Visitor Center, Manteo, NC	4037837	135909
New Castle Historic District, Delaware	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4651287	150267
Gateway Arch, Washington Avenue, St Louis, MO	Maryland State House, 100 State Cir, Annapolis, MD 21401	1353496	46013
Toltec Mounds, Scott, AR	Glacier National Park, West Glacier, MT	3041489	98430
USS Alabama, Battleship Parkway, Mobile, AL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	370688	13390
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	USS Constitution, Boston, MA	2773664	92993
The Breakers, Ochre Point Avenue, Newport, RI	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2284060	75792
Congress Hall, Congress Place, Cape May, NJ 08204	Wright Brothers National Memorial Visitor Center, Manteo, NC	448155	23709
Fort Sumter National Monument, Sullivan's Island, SC	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2942338	94559
San Andreas Fault, San Benito County, CA	The Alamo, Alamo Plaza, San Antonio, TX	2614335	83226
Glacier National Park, West Glacier, MT	Ashfall Fossil Bed, Royal, NE	1691766	60532
